Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,NumCompaniesWorked,OverTime,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion,CompaniesRotation,PercYearsCurrManager,PercYearsLastPromotion,PercYearsCurrentRole,MonthlyIncome_cat_encode
29,No,Travel_Rarely,Research & Development,9,5,Other,2,Male,2,1,Laboratory Technician,4,Single,0,No,3,3,0,4,2,3,3,2,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1
30,No,Travel_Rarely,Sales,5,3,Marketing,4,Female,2,2,Sales Executive,3,Divorced,1,No,3,3,2,10,2,3,10,1,10.0,0.2,0.1,0.9,2
27,No,Travel_Rarely,Sales,8,4,Marketing,2,Female,3,2,Sales Executive,2,Married,1,No,3,1,1,8,3,3,8,0,8.0,0.875,0.0,0.875,2
37,No,Travel_Rarely,Research & Development,5,2,Medical,4,Male,3,2,Manufacturing Director,4,Divorced,7,No,3,3,2,8,2,2,6,0,1.1428571428571428,0.6666666666666666,0.0,0.3333333333333333,2
38,No,Travel_Rarely,Research & Development,15,2,Life Sciences,3,Male,2,3,Research Director,4,Divorced,0,Yes,3,2,1,12,3,3,11,2,0.0,0.8181818181818182,0.18181818181818182,0.9090909090909091,3
31,No,Travel_Rarely,Research & Development,7,4,Medical,3,Female,3,3,Manufacturing Director,4,Single,1,Yes,3,3,0,11,2,2,11,4,10.0,0.9090909090909091,0.36363636363636365,0.8181818181818182,2
29,No,Travel_Rarely,Sales,10,1,Marketing,4,Female,2,2,Sales Executive,2,Divorced,1,Yes,3,1,2,7,2,3,7,1,7.0,1.0,0.14285714285714285,1.0,2
35,No,Travel_Rarely,Research & Development,5,4,Technical Degree,3,Male,3,3,Manufacturing Director,2,Single,0,No,3,4,0,17,5,3,15,0,0.0,0.8125,0.0,0.375,2
23,No,Travel_Rarely,Research & Development,26,1,Life Sciences,3,Male,3,1,Research Scientist,4,Divorced,1,No,3,3,2,4,2,2,4,0,4.0,0.5,0.0,0.5,0
41,No,Travel_Rarely,Research & Development,6,3,Medical,4,Male,2,2,Manufacturing Director,2,Single,6,Yes,3,4,0,8,3,3,5,1,1.3333333333333333,0.4,0.2,0.8,2
47,No,Travel_Frequently,Sales,4,1,Medical,2,Male,3,2,Sales Representative,3,Single,3,No,3,1,0,5,3,3,1,0,1.6666666666666667,0.0,0.0,0.0,1
42,No,Travel_Rarely,Research & Development,23,5,Life Sciences,1,Female,3,4,Research Director,4,Single,2,No,3,2,0,16,2,3,1,0,8.0,0.0,0.0,0.0,3
29,No,Non-Travel,Sales,2,3,Life Sciences,4,Male,3,2,Sales Executive,3,Married,1,No,3,1,1,4,3,2,4,0,4.0,0.5,0.0,0.75,1
42,No,Travel_Rarely,Human Resources,2,1,Technical Degree,3,Male,3,1,Human Resources,3,Divorced,0,Yes,3,3,1,4,5,3,3,1,0.0,0.0,0.3333333333333333,0.6666666666666666,0
32,No,Travel_Rarely,Research & Development,2,3,Medical,3,Female,3,1,Laboratory Technician,2,Married,1,No,3,3,1,8,4,3,8,0,8.0,0.875,0.0,0.0,0
48,No,Travel_Rarely,Sales,29,1,Medical,1,Female,3,3,Manager,3,Married,3,No,4,2,1,15,3,1,1,0,5.0,0.0,0.0,0.0,3
37,No,Travel_Rarely,Research & Development,6,3,Medical,3,Male,4,2,Research Scientist,1,Divorced,4,Yes,3,1,2,13,2,3,7,6,3.25,1.0,0.8571428571428571,1.0,2
30,No,Non-Travel,Sales,25,2,Technical Degree,4,Female,3,2,Sales Executive,3,Married,7,Yes,3,2,1,4,2,4,2,2,0.5714285714285714,1.0,1.0,1.0,1
26,No,Travel_Rarely,Sales,1,3,Life Sciences,3,Male,3,2,Sales Executive,3,Married,1,No,3,2,1,8,3,3,8,7,8.0,0.875,0.875,0.875,2
42,No,Travel_Rarely,Research & Development,2,4,Other,1,Male,2,2,Healthcare Representative,4,Single,3,No,4,2,0,14,5,3,1,0,4.666666666666667,0.0,0.0,0.0,2
21,Yes,Travel_Frequently,Sales,1,1,Technical Degree,1,Female,2,1,Sales Representative,2,Single,1,Yes,3,3,0,3,3,3,3,1,3.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0
36,No,Non-Travel,Sales,1,5,Medical,4,Female,3,2,Sales Executive,4,Single,4,No,3,2,0,7,5,3,1,0,1.75,0.0,0.0,0.0,2
36,No,Travel_Frequently,Sales,3,4,Medical,1,Male,2,3,Sales Executive,4,Married,4,No,3,1,1,16,2,3,13,1,4.0,0.9230769230769231,0.07692307692307693,0.6923076923076923,3
57,No,Travel_Rarely,Research & Development,1,4,Medical,4,Male,3,2,Healthcare Representative,3,Married,2,No,3,3,0,15,2,3,3,1,7.5,0.6666666666666666,0.3333333333333333,0.6666666666666666,2
40,No,Travel_Rarely,Research & Development,10,4,Life Sciences,4,Female,4,1,Laboratory Technician,3,Married,3,Yes,3,3,1,10,3,3,7,1,3.3333333333333335,1.0,0.14285714285714285,1.0,0
21,No,Non-Travel,Sales,9,2,Medical,1,Male,3,1,Sales Representative,4,Single,1,No,4,3,0,3,3,2,3,2,3.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
33,Yes,Travel_Rarely,Sales,5,3,Marketing,4,Female,3,1,Sales Representative,3,Single,1,Yes,3,2,0,1,2,3,1,0,1.0,0.0,0.0,0.0,0
37,No,Travel_Rarely,Research & Development,10,3,Medical,3,Female,3,1,Laboratory Technician,1,Married,6,No,4,2,1,17,3,3,5,0,2.8333333333333335,0.6,0.0,0.8,1
46,No,Non-Travel,Research & Development,7,4,Medical,3,Female,3,2,Manufacturing Director,3,Married,2,No,3,3,0,7,2,4,1,0,3.5,0.0,0.0,0.0,2
41,Yes,Travel_Frequently,Sales,4,3,Marketing,1,Male,3,2,Sales Executive,2,Single,1,No,3,3,0,8,5,3,8,7,8.0,0.875,0.875,0.875,3
50,No,Travel_Rarely,Research & Development,10,3,Technical Degree,4,Male,2,3,Healthcare Representative,4,Single,6,No,3,4,0,20,2,3,4,1,3.3333333333333335,0.75,0.25,0.75,3
40,Yes,Travel_Rarely,Sales,22,2,Marketing,3,Male,2,2,Sales Executive,3,Married,2,Yes,3,1,2,8,5,3,6,1,4.0,0.0,0.16666666666666666,0.6666666666666666,2
31,No,Travel_Rarely,Research & Development,9,4,Life Sciences,3,Male,2,1,Research Scientist,2,Single,0,Yes,3,4,0,3,5,3,2,2,0.0,1.0,1.0,1.0,0
21,Yes,Travel_Rarely,Sales,12,3,Life Sciences,3,Female,4,1,Sales Representative,2,Single,1,No,3,4,0,1,1,3,1,0,1.0,0.0,0.0,0.0,0
29,No,Travel_Rarely,Research & Development,23,3,Life Sciences,4,Male,3,1,Research Scientist,4,Single,7,No,3,4,0,6,4,3,3,1,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0
35,No,Travel_Rarely,Research & Development,9,4,Life Sciences,3,Male,2,2,Healthcare Representative,2,Single,7,No,3,3,0,10,5,3,1,0,1.1111111111111112,0.0,0.0,1.0,2
27,No,Travel_Rarely,Research & Development,1,2,Medical,4,Male,3,1,Laboratory Technician,2,Divorced,1,No,3,2,1,5,2,3,5,0,5.0,0.8,0.0,0.4,1
28,No,Travel_Rarely,Sales,9,4,Life Sciences,2,Male,3,2,Sales Executive,4,Single,1,No,3,4,0,7,1,3,7,0,7.0,1.0,0.0,0.7142857142857143,2
49,No,Travel_Rarely,Research & Development,7,3,Other,2,Male,2,3,Healthcare Representative,3,Single,7,No,4,3,0,23,2,3,5,0,3.25,0.0,0.0,0.4,3
51,No,Travel_Rarely,Sales,14,2,Life Sciences,3,Female,3,2,Sales Executive,4,Married,4,No,3,3,1,18,2,2,7,0,4.5,1.0,0.0,1.0,2
36,No,Travel_Rarely,Research & Development,2,3,Life Sciences,4,Female,3,1,Research Scientist,3,Married,4,No,3,2,1,6,3,3,2,2,1.5,1.0,1.0,1.0,0
34,Yes,Non-Travel,Sales,19,3,Marketing,1,Male,4,2,Sales Executive,4,Single,7,Yes,3,2,0,9,3,2,5,0,1.125,0.8,0.0,0.4,2
55,No,Travel_Rarely,Research & Development,2,3,Life Sciences,3,Female,3,4,Manager,4,Single,2,Yes,3,3,0,23,2,3,5,1,10.0,0.4,0.2,0.8,3
24,No,Travel_Rarely,Sales,10,4,Marketing,4,Female,3,2,Sales Executive,3,Divorced,1,Yes,3,4,1,5,2,4,5,0,5.0,0.6,0.0,0.4,1
30,No,Travel_Rarely,Sales,2,1,Technical Degree,3,Male,3,1,Sales Representative,2,Married,1,No,3,1,1,1,3,3,1,0,1.0,0.0,0.0,0.0,0
26,Yes,Travel_Frequently,Research & Development,3,1,Technical Degree,3,Male,3,1,Research Scientist,1,Single,0,No,4,3,0,7,2,3,6,0,0.0,0.6666666666666666,0.0,0.6666666666666666,1
22,No,Travel_Rarely,Research & Development,11,3,Medical,1,Female,3,1,Research Scientist,2,Married,1,No,3,4,1,2,1,3,2,1,2.0,1.0,0.5,0.5,0
36,No,Travel_Rarely,Sales,2,2,Medical,2,Male,2,3,Sales Executive,3,Married,1,No,3,2,2,10,2,3,10,7,10.0,0.0,0.9,0.9,2
30,Yes,Travel_Frequently,Research & Development,4,3,Technical Degree,3,Male,3,1,Research Scientist,4,Single,7,Yes,4,3,0,3,4,3,1,0,0.3333333333333333,0.0,0.0,0.0,0
37,No,Travel_Rarely,Research & Development,14,3,Life Sciences,4,Female,3,1,Laboratory Technician,1,Divorced,1,No,3,3,1,18,2,2,15,7,10.0,0.9444444444444444,0.6666666666666666,0.3888888888888889,1
40,No,Travel_Rarely,Sales,2,2,Marketing,4,Female,3,2,Sales Executive,2,Divorced,7,No,3,3,2,8,5,3,5,1,1.1428571428571428,0.6,0.2,0.8,2
42,No,Travel_Rarely,Research & Development,1,4,Life Sciences,2,Female,3,1,Laboratory Technician,1,Divorced,3,No,3,2,1,8,5,3,5,1,2.6666666666666665,0.4,0.2,0.4,0
37,No,Travel_Rarely,Research & Development,10,4,Life Sciences,3,Male,3,2,Manufacturing Director,2,Single,2,Yes,3,4,0,18,2,2,1,0,9.0,1.0,0.0,0.0,1
43,No,Travel_Rarely,Research & Development,12,3,Life Sciences,1,Male,2,4,Research Director,2,Divorced,1,No,3,3,1,23,3,3,15,3,10.0,0.36,0.12,0.4,3
40,No,Travel_Rarely,Research & Development,2,3,Medical,2,Female,2,2,Laboratory Technician,3,Married,6,No,4,2,1,20,3,3,1,0,3.3333333333333335,0.0,0.0,0.0,1
54,No,Travel_Rarely,Research & Development,5,2,Medical,1,Male,3,5,Research Director,1,Married,4,No,3,3,1,23,4,2,4,1,6.0,0.5,0.25,0.5,3
34,No,Non-Travel,Sales,4,4,Marketing,3,Female,3,2,Sales Executive,3,Married,7,No,3,1,1,6,3,3,3,1,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,2
31,No,Travel_Rarely,Research & Development,7,2,Medical,2,Female,3,2,Manufacturing Director,1,Married,1,No,3,2,1,13,5,1,13,3,10.0,0.9230769230769231,0.23076923076923078,0.7692307692307693,1
43,No,Travel_Frequently,Research & Development,21,3,Medical,4,Male,3,1,Laboratory Technician,4,Married,7,No,4,1,1,8,1,3,3,1,1.1428571428571428,0.6666666666666666,0.3333333333333333,0.6666666666666666,0
43,No,Travel_Rarely,Research & Development,8,4,Other,3,Female,3,2,Healthcare Representative,3,Divorced,4,Yes,3,4,0,8,3,3,5,0,2.0,0.4,0.0,0.4,1
25,No,Travel_Rarely,Sales,4,2,Life Sciences,2,Female,2,2,Sales Executive,4,Single,1,Yes,3,2,0,5,3,3,5,1,5.0,0.6,0.2,0.8,1
37,No,Non-Travel,Research & Development,25,5,Medical,2,Female,3,2,Research Scientist,3,Married,3,Yes,3,1,2,15,2,3,13,7,5.0,0.5384615384615384,0.7692307692307693,0.8461538461538461,1
31,No,Travel_Rarely,Research & Development,1,2,Life Sciences,4,Male,2,1,Laboratory Technician,1,Married,1,No,3,3,1,4,3,3,4,3,4.0,0.5,0.75,0.5,0
39,No,Travel_Frequently,Research & Development,1,1,Life Sciences,2,Male,3,5,Manager,3,Divorced,1,Yes,3,3,1,21,3,3,15,1,10.0,0.2857142857142857,0.047619047619047616,0.38095238095238093,3
56,No,Travel_Frequently,Sales,6,3,Life Sciences,3,Female,4,4,Sales Executive,1,Married,7,No,3,4,2,23,1,2,7,7,4.0,1.0,1.0,1.0,3
30,No,Travel_Rarely,Sales,12,3,Technical Degree,2,Female,3,2,Sales Executive,3,Single,0,No,3,2,0,6,5,3,5,4,0.0,0.8,0.8,0.8,2
41,No,Travel_Rarely,Sales,1,3,Marketing,2,Male,4,3,Sales Executive,1,Married,1,No,3,3,1,10,2,3,10,0,10.0,0.7,0.0,0.7,3
28,No,Travel_Rarely,Research & Development,17,2,Medical,3,Male,3,2,Laboratory Technician,1,Divorced,1,No,3,4,1,10,2,3,10,1,10.0,0.8,0.1,0.0,1
25,Yes,Travel_Rarely,Research & Development,3,3,Medical,1,Male,3,1,Laboratory Technician,1,Married,5,No,3,3,1,6,5,3,2,0,1.2,1.0,0.0,1.0,1
52,No,Travel_Rarely,Research & Development,3,3,Medical,4,Male,2,3,Manufacturing Director,3,Married,2,Yes,3,3,0,23,4,3,5,0,10.0,0.8,0.0,0.8,2
45,No,Travel_Rarely,Research & Development,10,2,Life Sciences,1,Male,3,1,Research Scientist,4,Married,3,No,4,4,2,8,3,2,2,0,2.6666666666666665,1.0,0.0,1.0,0
52,No,Travel_Rarely,Research & Development,4,2,Life Sciences,4,Female,3,4,Manager,4,Married,2,No,3,4,0,23,2,1,5,1,10.0,0.8,0.2,0.4,3
42,No,Travel_Frequently,Research & Development,29,2,Life Sciences,1,Female,3,2,Research Scientist,3,Divorced,2,No,3,2,1,19,3,3,5,0,9.5,0.4,0.0,0.8,1
30,No,Travel_Rarely,Research & Development,2,3,Life Sciences,3,Female,1,2,Manufacturing Director,4,Single,2,No,4,3,0,11,2,3,5,0,5.5,0.4,0.0,0.8,2
60,No,Travel_Rarely,Research & Development,7,3,Life Sciences,1,Female,3,5,Manager,1,Married,5,No,3,4,0,23,5,1,15,7,6.6,0.3448275862068966,0.3793103448275862,0.27586206896551724,3
46,No,Travel_Rarely,Research & Development,18,3,Medical,3,Female,3,2,Manufacturing Director,3,Divorced,2,No,3,3,1,19,5,2,10,0,9.5,0.8,0.0,0.7,1
42,No,Travel_Frequently,Research & Development,28,4,Technical Degree,4,Female,2,2,Healthcare Representative,4,Married,0,No,3,4,2,7,4,4,6,0,0.0,0.6666666666666666,0.0,0.8333333333333334,1
24,Yes,Travel_Rarely,Sales,1,1,Technical Degree,1,Female,3,1,Sales Representative,2,Single,1,Yes,3,2,0,6,4,3,5,1,6.0,0.8,0.2,0.6,1
34,Yes,Travel_Frequently,Sales,6,2,Marketing,4,Female,1,1,Sales Representative,3,Divorced,0,No,3,4,1,3,3,2,2,1,0.0,0.0,0.5,1.0,0
38,No,Travel_Frequently,Research & Development,2,2,Life Sciences,4,Male,3,1,Laboratory Technician,4,Married,1,Yes,4,3,1,1,3,3,1,0,1.0,0.0,0.0,0.0,0
40,No,Travel_Rarely,Sales,2,4,Life Sciences,3,Female,3,5,Manager,3,Married,0,No,3,4,0,21,2,3,15,1,0.0,0.6,0.05,0.75,3
26,No,Travel_Rarely,Research & Development,23,3,Life Sciences,1,Female,3,1,Research Scientist,4,Divorced,1,No,4,2,2,3,3,1,3,0,3.0,0.6666666666666666,0.0,0.6666666666666666,0
30,No,Non-Travel,Research & Development,3,3,Life Sciences,3,Male,3,1,Laboratory Technician,4,Married,4,No,3,3,1,9,3,1,5,1,2.25,0.8,0.2,0.6,0
29,No,Travel_Rarely,Research & Development,3,4,Medical,2,Male,2,3,Research Director,3,Married,1,No,3,3,0,10,2,3,10,0,10.0,0.7,0.0,0.2,3
29,Yes,Travel_Rarely,Research & Development,25,5,Technical Degree,3,Female,2,1,Research Scientist,2,Married,5,No,3,2,0,6,2,4,2,1,1.2,0.5,0.5,1.0,0
19,Yes,Travel_Rarely,Human Resources,2,2,Technical Degree,1,Male,2,1,Human Resources,4,Single,1,No,3,3,0,1,3,4,1,0,1.0,0.0,0.0,0.0,0
30,No,Non-Travel,Sales,22,4,Other,3,Female,3,3,Sales Executive,1,Married,0,No,3,3,0,10,3,3,9,7,0.0,0.8888888888888888,0.7777777777777778,0.8888888888888888,3
57,No,Travel_Rarely,Sales,29,3,Marketing,1,Male,2,4,Manager,4,Divorced,3,No,3,3,1,23,3,2,1,0,10.0,0.0,0.0,0.0,3
50,No,Travel_Rarely,Research & Development,29,4,Life Sciences,2,Male,2,4,Manager,3,Married,0,No,3,2,1,23,2,3,15,7,0.0,0.25925925925925924,0.5555555555555556,0.37037037037037035,3
30,No,Non-Travel,Research & Development,2,3,Medical,3,Female,3,1,Laboratory Technician,4,Single,0,No,3,3,0,12,2,2,11,6,0.0,0.6363636363636364,0.5454545454545454,0.6363636363636364,0
60,No,Travel_Frequently,Sales,28,3,Marketing,3,Female,2,3,Sales Executive,1,Married,4,No,3,4,0,22,5,4,15,7,5.5,0.6111111111111112,0.7222222222222222,0.7222222222222222,3
47,No,Travel_Rarely,Research & Development,2,2,Medical,1,Female,3,2,Manufacturing Director,4,Divorced,5,No,3,3,2,20,2,3,5,0,4.0,0.8,0.0,0.0,2
46,No,Travel_Rarely,Research & Development,2,3,Life Sciences,1,Male,3,4,Research Director,3,Married,6,No,3,3,0,23,2,1,3,0,4.333333333333333,0.3333333333333333,0.0,0.6666666666666666,3
35,No,Travel_Rarely,Research & Development,22,3,Life Sciences,4,Male,1,1,Laboratory Technician,3,Single,0,No,3,3,0,6,2,3,5,4,0.0,0.6,0.8,0.8,1
54,No,Travel_Rarely,Research & Development,8,4,Life Sciences,3,Female,3,2,Laboratory Technician,3,Single,7,No,3,3,0,19,3,3,1,0,2.7142857142857144,0.0,0.0,0.0,1
34,No,Travel_Rarely,Research & Development,2,4,Life Sciences,4,Male,2,1,Research Scientist,3,Divorced,3,No,3,3,1,14,3,3,7,5,4.666666666666667,1.0,0.7142857142857143,0.42857142857142855,0
46,No,Travel_Rarely,Sales,10,3,Marketing,3,Female,2,3,Sales Executive,4,Married,2,Yes,3,3,1,15,3,3,3,1,7.5,0.6666666666666666,0.3333333333333333,0.6666666666666666,3
31,No,Travel_Rarely,Research & Development,9,1,Life Sciences,3,Male,3,3,Manufacturing Director,2,Divorced,1,No,4,4,1,13,5,4,13,0,10.0,0.6153846153846154,0.0,0.6153846153846154,3
33,Yes,Travel_Rarely,Research & Development,15,1,Medical,2,Male,3,3,Manager,3,Married,7,Yes,3,4,0,15,2,4,7,7,2.142857142857143,1.0,1.0,0.8571428571428571,3
33,Yes,Travel_Rarely,Research & Development,10,1,Medical,1,Male,1,1,Laboratory Technician,4,Divorced,7,No,3,1,2,8,2,3,4,1,1.1428571428571428,0.75,0.25,0.75,1
30,No,Travel_Rarely,Sales,7,1,Marketing,4,Male,3,1,Sales Representative,2,Single,0,No,3,1,0,4,3,3,3,1,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,1
35,No,Travel_Rarely,Research & Development,16,3,Life Sciences,4,Male,3,3,Healthcare Representative,3,Married,4,Yes,3,3,0,10,2,3,8,0,2.5,0.0,0.0,0.875,2
31,Yes,Travel_Frequently,Research & Development,20,3,Life Sciences,1,Male,3,3,Healthcare Representative,3,Married,3,No,3,1,0,12,2,3,1,0,4.0,0.0,0.0,0.0,3
34,Yes,Travel_Frequently,Human Resources,23,3,Human Resources,2,Female,3,3,Human Resources,1,Divorced,7,Yes,3,3,2,11,2,3,3,0,1.2222222222222223,0.6666666666666666,0.0,0.6666666666666666,3
42,No,Travel_Frequently,Research & Development,5,2,Other,2,Male,3,1,Laboratory Technician,3,Married,4,No,3,4,1,8,4,3,2,2,2.0,0.0,1.0,1.0,0
36,No,Non-Travel,Sales,10,4,Medical,2,Male,3,3,Sales Executive,4,Single,1,No,3,4,0,10,3,2,10,7,10.0,0.7,0.9,0.3,3
22,Yes,Travel_Frequently,Research & Development,4,1,Technical Degree,3,Male,2,1,Laboratory Technician,3,Single,5,No,3,3,0,4,3,3,2,1,0.8,1.0,0.5,1.0,1
48,No,Travel_Rarely,Sales,2,5,Marketing,2,Female,3,2,Sales Executive,4,Married,2,No,3,1,1,14,2,3,9,6,7.0,0.7777777777777778,0.6666666666666666,0.7777777777777778,1
55,No,Travel_Rarely,Sales,18,5,Life Sciences,1,Female,3,4,Manager,2,Single,3,No,4,4,0,23,2,3,10,7,10.0,0.7,0.7,0.9,3
41,No,Non-Travel,Sales,10,2,Life Sciences,4,Male,3,2,Sales Executive,4,Single,7,No,3,4,0,16,3,3,14,1,2.2857142857142856,0.7142857142857143,0.07142857142857142,0.21428571428571427,2
35,No,Travel_Rarely,Sales,1,3,Marketing,2,Male,3,2,Sales Executive,3,Married,7,No,3,3,0,15,2,3,11,6,1.6666666666666667,0.8181818181818182,0.5454545454545454,0.8181818181818182,1
40,No,Travel_Rarely,Research & Development,6,3,Life Sciences,2,Female,3,4,Manufacturing Director,3,Single,7,No,3,3,0,22,3,3,15,5,3.142857142857143,0.65,0.25,0.3,3
39,No,Travel_Frequently,Research & Development,8,1,Life Sciences,3,Female,3,1,Laboratory Technician,3,Married,1,No,3,1,1,8,3,3,8,0,8.0,0.875,0.0,0.375,1
31,No,Travel_Rarely,Sales,2,1,Life Sciences,2,Male,3,2,Sales Executive,4,Single,4,Yes,3,3,0,10,2,4,6,0,2.5,0.8333333333333334,0.0,0.8333333333333334,2
42,No,Travel_Rarely,Research & Development,24,3,Medical,4,Male,3,3,Manufacturing Director,1,Married,1,Yes,4,4,1,10,5,2,10,5,10.0,0.8,0.5,0.9,2
45,No,Travel_Rarely,Sales,2,3,Other,4,Male,3,2,Sales Executive,2,Married,0,No,3,2,1,9,3,4,8,3,0.0,0.875,0.375,0.875,1
26,Yes,Travel_Frequently,Human Resources,17,4,Life Sciences,2,Female,3,1,Human Resources,3,Divorced,0,Yes,3,2,1,8,2,2,7,1,0.0,0.0,0.14285714285714285,1.0,0
29,No,Travel_Rarely,Research & Development,19,3,Technical Degree,4,Male,3,2,Manufacturing Director,4,Divorced,4,No,3,2,2,8,2,4,3,1,2.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,1
33,No,Travel_Rarely,Research & Development,1,5,Medical,1,Female,4,4,Research Director,3,Divorced,4,No,3,3,1,10,2,3,6,0,2.5,0.8333333333333334,0.0,0.16666666666666666,3
31,No,Travel_Rarely,Sales,7,3,Life Sciences,3,Male,2,3,Manager,4,Divorced,7,No,4,3,1,10,3,2,5,0,1.1111111111111112,0.2,0.0,0.8,3
18,Yes,Travel_Frequently,Sales,5,3,Marketing,2,Male,3,1,Sales Representative,2,Single,1,Yes,3,4,0,1,3,3,1,0,0.0,0.0,0.0,0.0,0
40,No,Non-Travel,Sales,28,3,Other,3,Male,1,3,Sales Executive,1,Divorced,3,No,3,3,1,20,2,3,1,0,6.666666666666667,1.0,0.0,0.0,3
41,No,Non-Travel,Research & Development,2,4,Other,1,Female,2,2,Healthcare Representative,3,Single,2,Yes,3,1,0,10,3,3,8,0,5.0,0.875,0.0,0.875,2
26,No,Travel_Rarely,Sales,29,2,Medical,1,Male,3,2,Sales Executive,3,Divorced,5,No,3,1,2,8,5,3,1,0,1.6,0.0,0.0,0.0,1
35,No,Travel_Rarely,Sales,1,3,Medical,1,Female,3,2,Sales Executive,3,Single,1,No,3,4,0,5,3,3,5,0,5.0,0.6,0.0,0.8,1
34,No,Travel_Rarely,Sales,21,4,Life Sciences,4,Male,4,2,Sales Executive,4,Single,1,No,3,4,0,10,3,3,10,5,10.0,0.7,0.5,0.7,2
26,Yes,Travel_Rarely,Research & Development,24,3,Technical Degree,3,Male,1,1,Laboratory Technician,4,Single,1,Yes,3,2,0,1,3,1,1,0,1.0,0.0,0.0,0.0,0
37,No,Travel_Rarely,Research & Development,1,3,Technical Degree,2,Female,3,3,Manufacturing Director,4,Single,4,No,3,4,0,12,3,4,6,1,3.0,0.3333333333333333,0.16666666666666666,0.8333333333333334,2
46,No,Travel_Frequently,Research & Development,18,1,Medical,1,Female,3,3,Healthcare Representative,3,Married,5,No,3,4,0,23,3,2,2,1,5.6,1.0,0.5,1.0,3
41,No,Travel_Rarely,Sales,2,5,Life Sciences,2,Female,3,4,Manager,1,Married,7,No,3,2,1,22,2,3,15,7,3.142857142857143,0.4444444444444444,0.6111111111111112,0.8888888888888888,3
37,No,Non-Travel,Sales,9,4,Medical,1,Male,3,3,Sales Executive,2,Divorced,1,No,3,4,1,9,5,3,9,7,9.0,0.7777777777777778,0.7777777777777778,0.5555555555555556,3
52,No,Travel_Rarely,Research & Development,6,2,Technical Degree,4,Male,3,2,Research Scientist,1,Divorced,3,Yes,3,2,2,18,3,3,10,6,6.0,0.9,0.6,0.9,2
32,Yes,Non-Travel,Sales,11,4,Other,4,Male,4,2,Sales Executive,3,Married,7,No,3,4,0,6,2,3,4,1,0.75,0.5,0.25,0.5,1
24,No,Travel_Frequently,Sales,24,3,Medical,4,Male,3,1,Sales Representative,4,Married,0,No,3,3,2,3,3,3,2,2,0.0,0.5,1.0,1.0,0
38,No,Travel_Rarely,Research & Development,10,3,Medical,3,Female,3,2,Healthcare Representative,3,Married,3,No,3,3,1,18,4,3,1,0,6.0,0.0,0.0,0.0,3
37,No,Travel_Rarely,Research & Development,1,4,Life Sciences,2,Female,3,2,Manufacturing Director,2,Married,6,No,3,2,1,8,2,2,6,4,1.3333333333333333,0.5,0.6666666666666666,0.8333333333333334,2
49,No,Travel_Rarely,Research & Development,18,4,Life Sciences,4,Male,2,5,Research Director,3,Divorced,1,Yes,3,3,1,23,5,3,15,0,10.0,0.2903225806451613,0.0,0.2903225806451613,3
24,No,Travel_Rarely,Research & Development,23,3,Medical,2,Male,4,1,Research Scientist,4,Married,1,Yes,3,2,2,6,3,3,6,1,6.0,0.6666666666666666,0.16666666666666666,0.8333333333333334,0
26,No,Travel_Rarely,Sales,28,2,Marketing,1,Male,3,2,Sales Executive,2,Married,1,No,4,4,2,6,5,4,5,1,6.0,0.8,0.2,0.6,2
24,No,Travel_Rarely,Research & Development,17,2,Other,4,Male,2,1,Laboratory Technician,2,Married,1,No,4,4,1,1,2,3,1,0,1.0,0.0,0.0,0.0,0
50,No,Travel_Frequently,Human Resources,3,3,Medical,1,Male,3,5,Manager,2,Married,1,No,3,3,1,23,2,3,15,7,10.0,0.21875,0.3125,0.15625,3
25,No,Travel_Rarely,Sales,13,1,Medical,2,Male,3,1,Sales Representative,3,Married,1,No,3,3,0,7,1,3,7,0,7.0,0.8571428571428571,0.0,0.5714285714285714,0
24,Yes,Travel_Frequently,Research & Development,7,3,Life Sciences,1,Female,3,1,Laboratory Technician,3,Married,1,Yes,3,4,1,6,4,3,6,1,6.0,0.3333333333333333,0.16666666666666666,0.5,0
30,Yes,Travel_Frequently,Sales,12,4,Life Sciences,2,Male,2,1,Sales Representative,1,Married,1,No,3,3,1,1,2,4,1,0,1.0,0.0,0.0,0.0,0
34,No,Travel_Rarely,Research & Development,1,2,Life Sciences,2,Male,2,1,Research Scientist,4,Married,1,Yes,3,4,1,6,3,3,6,1,6.0,0.5,0.16666666666666666,0.8333333333333334,1
31,Yes,Travel_Rarely,Sales,13,4,Medical,2,Male,3,2,Sales Executive,1,Divorced,2,No,3,3,0,9,2,1,3,1,4.5,0.6666666666666666,0.3333333333333333,0.3333333333333333,1
